City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Jamestown,US,2022-02-07 02:59:29,42.097,-79.2353,29.71,10,63,7.85
68,Provideniya,RU,2022-02-07 02:59:30,64.3833,-173.3,3.31,66,0,13.42
69,Nikolskoye,RU,2022-02-07 02:59:30,59.7035,30.7861,36.88,97,100,6.98
70,Port Alfred,ZA,2022-02-07 02:59:30,-33.5906,26.891,72.93,79,82,4.97
71,Bonga,ET,2022-02-07 02:59:31,7.2833,36.2333,57.34,71,24,1.66
72,Faanui,PF,2022-02-07 02:56:54,-16.4833,-151.75,81.01,75,100,20.13
73,Rassvet,RU,2022-02-07 02:59:31,46.8333,40.75,32.05,100,98,11.41
74,Meulaboh,ID,2022-02-07 02:59:32,4.1363,96.1285,78.46,83,100,2.55
75,Bocas Del Toro,PA,2022-02-07 02:59:32,9.3333,-82.25,76.66,77,7,6.82
76,Quatre Cocos,MU,2022-02-07 02:59:32,-20.2078,57.7625,78.1,82,100,10.0
77,Touros,BR,2022-02-07 02:57:38,-5.1989,-35.4608,79.7,76,19,8.86
78,Guerrero Negro,MX,2022-02-07 02:59:33,27.9769,-114.0611,60.46,55,0,8.66
79,Sungaipenuh,ID,2022-02-07 02:55:40,-2.0833,101.3833,73.69,64,100,4.81
80,Shebunino,RU,2022-02-07 02:59:33,46.4339,141.8603,23.65,71,100,15.93
81,Ozubulu,NG,2022-02-07 02:59:34,5.9567,6.849,69.94,90,3,1.43
82,Cape Town,ZA,2022-02-07 02:59:03,-33.9258,18.4232,64.27,88,75,3.44
83,Puerto Ayora,EC,2022-02-07 02:59:34,-0.7393,-90.3518,73.54,93,20,3.0
84,Yellowknife,CA,2022-02-07 02:58:37,62.456,-114.3525,-2.58,88,20,5.75
85,Bitung,ID,2022-02-07 02:59:35,1.4451,125.1824,86.85,76,82,11.95
86,Kalianget,ID,2022-02-07 02:59:35,-7.05,113.9333,80.92,82,93,13.42
87,Inirida,CO,2022-02-07 02:55:20,3.8653,-67.9239,75.87,87,90,1.66
88,Esso,RU,2022-02-07 02:59:35,55.9333,158.7,17.69,90,98,3.89
89,Wanning,CN,2022-02-07 02:58:10,18.8003,110.3967,74.86,85,63,7.65
90,Chara,RU,2022-02-07 02:59:36,56.9064,118.2631,0.77,79,68,1.41
91,Souillac,MU,2022-02-07 02:57:36,-20.5167,57.5167,77.38,94,75,3.44
92,Ribeira Grande,PT,2022-02-07 02:59:36,38.5167,-28.7,61.07,83,9,16.02
93,Saint-Philippe,RE,2022-02-07 03:00:39,-21.3585,55.7679,78.35,85,94,14.65
